,0,1,2
154,108460820489288.36,35579656794.38843,203978477259.08813
155,122354981285996.52,27597535309.88623,200057513134.643
156,109978944115944.83,21383406959.060486,231432200230.22614
157,122352343662406.52,27602907486.306335,200064085237.77325
158,115159678877870.33,26559973496.125305,204469776325.7804
159,109155047851016.2,25038819621.033813,216780907895.11737
160,105912636066731.75,33698652907.861145,213079976273.36438
161,109777199110647.19,26312076171.85846,212983762093.11932
162,106707828802669.55,23167800334.856445,239047789718.3501
163,106011464683364.44,23798264687.324646,245731588476.14087
164,114358482835668.7,35931659018.20917,197024477417.4776
165,107458779084822.97,23499929001.977173,228031027346.96918
166,109318237191060.48,24743990993.136414,216933723362.46936
167,109361631830337.78,22556584056.45099,221160947809.63538
168,120399009090383.72,35350115491.40637,193479445968.12366
169,109959671708178.27,25347808063.122986,214200486261.06982
170,102900803383724.31,39990069413.95062,213908172914.63983
171,115184780531582.98,26473712999.302002,204744366179.35822
172,111644013525676.84,24859149878.845154,210537525238.50385
173,122350789096551.12,29516886852.469116,197299720175.03015
174,106525965818795.72,37454714734.53491,204700526137.27094
175,108097458514980.31,30893630868.05957,210875140243.20813
176,105967664335591.84,33173553785.868103,213221556963.24457
177,103389031166134.89,41172932649.30121,209746916110.24963
178,109044788630397.11,24458679029.624146,218035804496.03644
179,102535751849247.55,34518807818.49774,250774441405.92786
180,122246264741693.69,27863655920.472717,199964776633.35754
181,112553242674670.83,30449669132.01709,203152143060.9599
182,107518370181338.7,22686535900.923096,240413690632.64502
183,120934276313888.22,31643878081.202576,196645041291.4143
184,106463992243889.17,23231417961.07556,240236467342.7127
185,102526660529370.83,38048965725.358765,222250083376.8883
186,115026850124366.55,26854161827.925354,204447143340.21216
187,109282156210986.34,24805326124.02411,216806063187.43854
188,111587067499124.98,25263428932.8808,210111649671.07483
189,118186266822274.03,39779202122.71454,191989380607.65955
190,106818020570632.88,36811416396.400635,204789072391.45612
191,115035615707152.23,43241687042.03766,192968826772.62762
192,108850450937505.48,40800815079.74213,199018092723.45685
193,107656764503626.83,22457068230.40973,240283037756.17603
194,110762796457630.84,22208353213.361694,216636853563.93628
195,109978949499419.9,21383395485.560547,231432199967.41467
196,102172393249675.38,36228286111.58374,248808254812.23657
197,109431008005187.16,24286107605.660156,217191049748.06683
198,108364485364986.3,22233998796.745056,241804003919.33765
199,106015748730188.34,33038189678.578552,213288057664.52393
200,109540790347580.48,24037684289.07782,217143344298.10846
201,115190264914986.67,26465174073.48181,204751568886.031
202,111645420990603.25,24856382054.700928,210539160631.1424
203,105931558513805.81,33636608767.942444,213208582955.71997
204,114998306247955.11,26893288612.66284,204458572278.24518
205,107604193257073.84,38322061919.205444,202910045154.56934
206,113745989439798.19,32490576903.595764,199558374143.37238
207,110083822067207.95,24867452825.417175,214259849989.537
208,107679453184485.08,22442063581.298218,240298201597.2318
209,106662070977104.44,24388075233.853027,232673573117.9582
210,101714503737809.39,37019468938.80554,254214894456.776
211,106239438243972.55,24705581218.121765,233154150313.26447
212,109898732080653.45,23656626659.69281,215685425613.09583
213,106609005410226.72,26427184305.045532,221829071894.93658
214,117510467543160.16,35806660107.29675,195041212547.63995
215,103279283511423.67,31589139170.46936,260051043195.651
216,108044373282381.95,42087652824.144775,199242023946.52228
217,107622349331411.31,38381393118.50128,202659822063.74316
218,111919836294373.1,34122913728.69861,200524536602.81586
219,108667649688977.9,40902837201.34564,198166529338.16882
220,102808241922248.06,35783077835.66632,228290901557.86078
221,110991414531071.97,24452127247.886597,213324754513.23932
222,107785811319774.28,22373787382.575928,240286638855.60345
223,105622073526632.16,26292298259.315247,231119894243.41095
224,104385148402229.53,32672668628.770935,221650105294.2223
225,102095396850203.17,35106201949.88086,259075411202.48688
226,106844135404375.53,22907522616.132446,241830752149.87897
227,107469214446678.5,32277399862.522034,209997477270.89252
228,117286019917605.61,26727267882.343506,203061888576.68304
229,115027434243817.44,26852858076.820557,204447014103.89532
230,115190619589996.2,26464342713.672974,204751297948.69897
231,109424451827399.67,24300623718.83734,217242427257.56415
232,103380272542374.45,38526580429.61243,214487484230.60144
233,110101174533106.33,24843230171.352722,214153961381.1878
234,111127189910297.72,36276111895.91882,199393641829.9978
235,118038014884751.08,40108584665.151794,191675100553.9831
236,106469596919817.62,23222691745.47815,240244131926.2857
237,111222822792259.55,35795310975.38806,199785275866.00165
238,120850597485115.19,31816265204.180664,196381837825.92316
239,107620232364925.11,22498725437.902344,240453431338.72894
240,103389096391907.64,41172786561.64221,209746804731.81018
241,107333064349921.92,35420416217.23932,205672213300.87732
242,110889992264462.28,23859162175.64435,214933181871.21655
243,109022566907879.12,22912781431.686035,222306852737.41504
244,108507044953900.17,41992778121.780945,198568940115.79498
245,108121068005913.05,24688446214.80591,221395765651.08533
