,cost,min_energy_shortfall,energy_changes
266,1.00E+14,9030769560,2.46E+11
267,9.95E+13,11065018735,2.30E+11
268,1.01E+14,10104915766,2.32E+11
269,1.01E+14,9681535769,2.38E+11
270,1.04E+14,8455930324,2.29E+11
271,9.75E+13,11610910786,2.41E+11
272,1.06E+14,7560856998,2.32E+11
273,1.03E+14,8215575407,2.36E+11
274,1.02E+14,8226634059,2.48E+11
275,9.80E+13,11327873117,2.40E+11
276,1.00E+14,9730988636,2.39E+11
277,9.96E+13,9482512906,2.46E+11
278,1.04E+14,8668492863,2.30E+11
279,1.02E+14,8804148020,2.34E+11
280,1.02E+14,8303598448,2.42E+11
281,1.01E+14,9223589156,2.40E+11
282,1.05E+14,7626938960,2.35E+11
283,1.06E+14,7837620171,2.27E+11
284,1.00E+14,10000175644,2.36E+11
285,1.01E+14,9163275092,2.43E+11
286,1.00E+14,9468268616,2.45E+11
287,9.81E+13,11251232319,2.40E+11
288,9.96E+13,9920434979,2.44E+11
289,9.74E+13,11403778287,2.47E+11
290,1.00E+14,9406981805,2.45E+11
291,1.04E+14,8970296514,2.27E+11
292,1.02E+14,8057680179,2.42E+11
293,9.82E+13,11166357936,2.40E+11
294,1.06E+14,8117368922,2.27E+11
295,9.97E+13,10879780934,2.31E+11
296,1.05E+14,8429179336,2.26E+11
297,1.03E+14,9068170373,2.29E+11
298,1.04E+14,8180995707,2.32E+11
299,1.02E+14,9668737742,2.30E+11
300,1.01E+14,8412994841,2.49E+11
301,1.01E+14,10981023231,2.25E+11
302,1.02E+14,9934920675,2.29E+11
303,1.03E+14,9342942678,2.26E+11
304,1.04E+14,8615249164,2.29E+11
305,1.05E+14,8074118922,2.31E+11
306,1.00E+14,8617937091,2.52E+11
307,9.96E+13,9921704761,2.43E+11
308,1.01E+14,8218961061,2.49E+11
309,1.03E+14,9165303921,2.28E+11
310,1.03E+14,8299695264,2.39E+11
311,1.02E+14,9847859097,2.30E+11
312,1.03E+14,8488573991,2.34E+11
313,1.05E+14,8223996195,2.29E+11
314,9.85E+13,10605829440,2.44E+11
315,1.01E+14,8343996470,2.50E+11
316,1.02E+14,8287160599,2.44E+11
317,1.01E+14,9069092638,2.38E+11
318,9.82E+13,11224272898,2.40E+11
319,9.95E+13,10031226250,2.43E+11
320,9.95E+13,11417795777,2.29E+11
321,1.05E+14,7642238526,2.36E+11
322,9.76E+13,11460009258,2.43E+11
323,1.00E+14,10069052905,2.34E+11
324,1.00E+14,10526233382,2.31E+11
325,9.85E+13,11004832916,2.37E+11
326,1.05E+14,8153681592,2.29E+11
327,1.01E+14,8486180803,2.50E+11
328,1.02E+14,8374072885,2.42E+11
329,1.03E+14,8355096398,2.35E+11
330,1.02E+14,8485146069,2.40E+11
331,9.80E+13,11315577903,2.39E+11
332,1.04E+14,8143599210,2.34E+11
333,9.84E+13,10606276652,2.46E+11
334,1.03E+14,8783118202,2.34E+11
335,1.02E+14,8871717821,2.37E+11
336,9.82E+13,10679130878,2.52E+11
337,9.97E+13,11236934957,2.29E+11
338,9.97E+13,9622424682,2.41E+11
339,9.86E+13,10671427564,2.36E+11
340,1.06E+14,7628883327,2.32E+11
341,1.01E+14,8998417693,2.45E+11
342,1.03E+14,8019550192,2.43E+11
343,1.01E+14,8836684181,2.41E+11
344,9.85E+13,10859226464,2.35E+11
345,1.01E+14,8090835809,2.50E+11
346,1.04E+14,9316845205,2.25E+11
347,9.79E+13,11096032702,2.43E+11
348,1.01E+14,8617080363,2.49E+11
349,1.02E+14,8045445845,2.46E+11
350,1.00E+14,11233798337,2.28E+11
351,1.03E+14,8942646075,2.29E+11
352,1.00E+14,8672422981,2.51E+11
353,1.04E+14,7995123373,2.34E+11
354,9.81E+13,11009510198,2.43E+11
355,1.04E+14,8647124216,2.30E+11
356,9.72E+13,11730157157,2.41E+11
357,1.03E+14,7985651893,2.39E+11
358,9.84E+13,11178136458,2.39E+11
359,1.01E+14,8463769150,2.49E+11
360,1.01E+14,8300168664,2.51E+11
361,1.01E+14,8215278509,2.48E+11
362,1.01E+14,9710158153,2.39E+11
363,1.02E+14,8140472408,2.49E+11
364,1.02E+14,8228713710,2.45E+11
365,1.03E+14,8188286767,2.41E+11
366,1.02E+14,8049341318,2.46E+11
367,1.05E+14,8682053995,2.27E+11
368,1.02E+14,8797652138,2.41E+11
369,9.80E+13,11154930312,2.41E+11
370,1.01E+14,8877831921,2.46E+11
371,9.83E+13,11148068695,2.39E+11
372,1.04E+14,8115236153,2.32E+11
373,1.01E+14,9048150479,2.43E+11
374,1.03E+14,9382957057,2.30E+11
375,1.03E+14,8984959607,2.30E+11
376,9.82E+13,10899202587,2.45E+11
377,1.05E+14,8084824161,2.30E+11
378,1.01E+14,9069967698,2.41E+11
379,1.01E+14,9183034146,2.39E+11
380,9.78E+13,11721062225,2.38E+11
381,1.01E+14,9477684339,2.39E+11
382,1.02E+14,9085343729,2.35E+11
383,1.02E+14,8133326870,2.41E+11
384,1.01E+14,8205124390,2.50E+11
385,9.97E+13,9552736449,2.45E+11
386,1.04E+14,9558986723,2.25E+11
387,1.01E+14,9453899856,2.41E+11
388,1.02E+14,8407142866,2.45E+11
389,9.72E+13,11814286507,2.44E+11
390,9.82E+13,11287471428,2.39E+11
391,1.01E+14,8994060996,2.41E+11
392,9.77E+13,11162186112,2.51E+11
393,9.86E+13,10775281893,2.42E+11
394,9.96E+13,9656114582,2.44E+11
395,1.02E+14,8613852002,2.37E+11
396,1.04E+14,8312784843,2.30E+11
397,1.00E+14,9126898420,2.46E+11
398,1.02E+14,8253647347,2.46E+11
399,9.81E+13,10784137799,2.48E+11
400,1.03E+14,9179912874,2.28E+11
401,1.01E+14,9835656317,2.37E+11
402,1.00E+14,9094762643,2.47E+11
403,1.02E+14,8111777971,2.49E+11
404,1.03E+14,8982672567,2.30E+11
405,1.02E+14,8332376078,2.45E+11
406,9.95E+13,10596568991,2.35E+11
407,9.95E+13,10101923093,2.42E+11
408,1.01E+14,9857197115,2.30E+11
409,9.86E+13,9950538710,2.45E+11
410,9.94E+13,9411526934,2.51E+11
411,1.03E+14,10983612579,2.22E+11
412,9.90E+13,10486636687,2.36E+11
413,1.07E+14,7634567408,2.27E+11
414,1.01E+14,8623022977,2.44E+11
415,1.04E+14,8093962537,2.33E+11
416,9.96E+13,11411488591,2.28E+11
417,1.01E+14,8543566000,2.51E+11
418,1.02E+14,10422856382,2.27E+11
419,1.02E+14,9692320390,2.29E+11
420,1.00E+14,9687846999,2.39E+11
421,1.02E+14,9921535524,2.28E+11
422,9.88E+13,10514100596,2.43E+11
423,9.99E+13,10411565247,2.34E+11
424,1.04E+14,8128825878,2.35E+11
425,9.96E+13,11387494377,2.29E+11
426,1.04E+14,8866131263,2.27E+11
427,1.01E+14,9567875308,2.39E+11
428,9.88E+13,10448201826,2.43E+11
429,1.02E+14,9731860897,2.29E+11
430,9.82E+13,11627035503,2.37E+11
431,1.06E+14,7434699448,2.33E+11
432,1.01E+14,9483276986,2.39E+11
433,1.03E+14,9415273524,2.29E+11
434,9.94E+13,11288768206,2.31E+11
435,1.01E+14,9318052847,2.40E+11
436,9.83E+13,10597408148,2.47E+11
437,9.82E+13,10810579347,2.46E+11
438,1.05E+14,8589910983,2.28E+11
439,1.05E+14,7947533563,2.30E+11
440,1.03E+14,9218647066,2.30E+11
441,1.02E+14,9616765732,2.31E+11
442,1.03E+14,7740500858,2.40E+11
443,1.01E+14,8576622460,2.47E+11
444,1.03E+14,8204362168,2.40E+11
445,1.01E+14,8455988902,2.46E+11
446,1.03E+14,7763681280,2.44E+11
447,9.82E+13,10871459715,2.41E+11
448,9.96E+13,10018244937,2.40E+11
449,1.03E+14,7677713606,2.40E+11
450,9.84E+13,10671644843,2.42E+11
451,1.05E+14,7661784492,2.35E+11
452,9.89E+13,11336992328,2.35E+11
453,1.04E+14,7810138890,2.37E+11
454,1.03E+14,8350357396,2.34E+11
455,9.90E+13,10798116234,2.32E+11
456,1.00E+14,10677826862,2.27E+11
457,1.04E+14,8338478632,2.30E+11
458,1.01E+14,8464935384,2.49E+11
459,1.04E+14,8471231442,2.29E+11
460,1.03E+14,9327793322,2.27E+11
461,1.05E+14,8707872310,2.25E+11
462,9.84E+13,10626090871,2.44E+11
463,1.01E+14,8427905920,2.49E+11
464,9.96E+13,11292525385,2.28E+11
465,1.01E+14,8558013123,2.48E+11
466,1.04E+14,7898107482,2.36E+11
467,1.02E+14,9498813150,2.32E+11
468,9.82E+13,11272982821,2.38E+11
469,9.83E+13,11203332437,2.38E+11
470,9.78E+13,11200361281,2.48E+11
471,1.01E+14,9548932927,2.40E+11
472,1.03E+14,8450175035,2.37E+11
473,9.99E+13,10490959367,2.31E+11
474,1.02E+14,9230291537,2.31E+11
475,9.85E+13,11494458436,2.34E+11
476,1.03E+14,7953844883,2.44E+11
477,9.99E+13,8992889264,2.47E+11
478,1.01E+14,9159999851,2.40E+11
479,1.04E+14,9086832072,2.25E+11
480,9.95E+13,11108264937,2.30E+11
481,1.05E+14,8202291717,2.30E+11
482,1.01E+14,9403173376,2.38E+11
483,1.04E+14,9570934593,2.25E+11
484,1.03E+14,10127136449,2.20E+11
485,1.04E+14,7797385058,2.37E+11
486,9.98E+13,10576574330,2.29E+11
487,9.71E+13,11856268052,2.45E+11
488,1.03E+14,8258856760,2.41E+11
489,1.01E+14,9506884528,2.31E+11
490,1.00E+14,10036642194,2.38E+11
491,1.00E+14,8943628705,2.47E+11
492,9.84E+13,11036886242,2.41E+11
493,1.00E+14,8670709850,2.51E+11
494,1.02E+14,9147921169,2.38E+11
495,1.05E+14,8136616931,2.30E+11
496,1.05E+14,7800723883,2.31E+11
497,1.05E+14,8129903389,2.29E+11
498,9.96E+13,11360258521,2.29E+11
499,1.02E+14,9633609572,2.31E+11
500,1.03E+14,9498850254,2.27E+11
501,1.01E+14,9457201836,2.40E+11
502,9.96E+13,9785599662,2.44E+11
503,1.01E+14,10977101664,2.25E+11
504,1.00E+14,11237461494,2.25E+11
505,1.03E+14,8541519896,2.34E+11
506,1.01E+14,8899650192,2.47E+11
507,1.02E+14,9340108525,2.33E+11
508,1.03E+14,7981398576,2.39E+11
509,1.00E+14,10038970155,2.36E+11
510,1.01E+14,9530908490,2.34E+11
511,1.02E+14,8628169052,2.38E+11
512,1.01E+14,8420268022,2.49E+11
513,1.03E+14,9724882971,2.27E+11
514,1.02E+14,8113001168,2.41E+11
515,1.04E+14,8343901979,2.33E+11
516,1.03E+14,8220240405,2.36E+11
517,1.04E+14,9460035303,2.23E+11
518,1.04E+14,9760756531,2.24E+11
519,1.02E+14,7884177246,2.47E+11
520,9.88E+13,10484831832,2.44E+11
521,1.05E+14,7597513402,2.37E+11
522,1.02E+14,10259763535,2.29E+11
523,9.88E+13,10373915496,2.43E+11
524,1.02E+14,8623705975,2.37E+11
525,1.02E+14,10219364442,2.29E+11
526,1.02E+14,8634773979,2.36E+11
527,1.04E+14,9044601243,2.25E+11
528,1.02E+14,8788549998,2.34E+11
529,1.02E+14,8182648936,2.45E+11
530,9.83E+13,11712691267,2.36E+11
531,1.01E+14,9620326622,2.39E+11
532,1.06E+14,7593393484,2.32E+11
533,9.98E+13,9951104660,2.38E+11
534,1.03E+14,9744210544,2.27E+11
535,1.03E+14,7837317059,2.41E+11
536,9.99E+13,8993700772,2.47E+11
537,1.02E+14,8420995397,2.45E+11
538,1.04E+14,8379146478,2.29E+11
539,1.06E+14,7858728098,2.28E+11
540,1.01E+14,9327062154,2.38E+11
541,1.02E+14,9162306945,2.34E+11
542,1.02E+14,10431863244,2.27E+11
543,1.04E+14,7887716247,2.36E+11
544,1.05E+14,8889490057,2.26E+11
545,1.02E+14,8673672968,2.43E+11
546,1.01E+14,9376005143,2.33E+11
547,1.05E+14,8378859589,2.27E+11
548,1.06E+14,7830867267,2.27E+11
549,1.03E+14,9048969267,2.29E+11
550,1.01E+14,9500423352,2.39E+11
551,1.05E+14,7991922039,2.32E+11
552,1.05E+14,8737702129,2.24E+11
553,1.02E+14,9511850557,2.29E+11
554,1.02E+14,8300280810,2.45E+11
555,1.01E+14,8487342863,2.48E+11
556,1.04E+14,8148050525,2.36E+11
557,1.02E+14,9809607473,2.29E+11
558,1.04E+14,9636607748,2.24E+11
559,1.03E+14,7955352374,2.37E+11
560,1.05E+14,8235792616,2.28E+11
561,1.05E+14,8570228772,2.26E+11
562,9.81E+13,10808754629,2.47E+11
563,1.01E+14,9550432966,2.40E+11
564,1.04E+14,8414425816,2.32E+11
565,9.80E+13,11400481086,2.39E+11
566,9.86E+13,10556147864,2.42E+11
567,1.03E+14,8397213506,2.36E+11
568,1.02E+14,8098761989,2.43E+11
569,1.01E+14,9226209320,2.37E+11
570,1.00E+14,8763456879,2.48E+11
571,1.00E+14,9910942509,2.35E+11
572,1.04E+14,8222182988,2.30E+11
573,1.01E+14,9582063329,2.41E+11
574,1.06E+14,7808548083,2.28E+11
575,1.00E+14,10004968968,2.36E+11
576,1.02E+14,8850354219,2.40E+11
577,9.80E+13,11337428843,2.40E+11
578,1.04E+14,9672813306,2.25E+11
579,1.04E+14,8374472831,2.33E+11
580,9.84E+13,10758614824,2.44E+11
581,1.02E+14,9737247714,2.29E+11
582,9.96E+13,9912041923,2.43E+11
583,1.01E+14,9123039901,2.43E+11
584,1.05E+14,7933689960,2.32E+11
585,9.93E+13,11414149604,2.30E+11
586,1.05E+14,7699003801,2.35E+11
587,1.01E+14,9393609470,2.40E+11
588,9.79E+13,10861207547,2.45E+11
589,9.88E+13,10487083345,2.44E+11
590,1.01E+14,9724652243,2.33E+11
591,1.03E+14,10367243279,2.21E+11
592,1.01E+14,10183541569,2.29E+11
593,1.04E+14,9642287091,2.25E+11
594,1.05E+14,8722195646,2.25E+11
595,1.02E+14,8436877836,2.41E+11
596,1.02E+14,8794140874,2.39E+11
597,1.01E+14,8646960536,2.50E+11
598,1.01E+14,8379146727,2.53E+11
599,1.03E+14,8029613810,2.41E+11
600,1.03E+14,8727734452,2.29E+11
601,9.96E+13,9287297546,2.46E+11
602,9.70E+13,11906956979,2.45E+11
603,1.03E+14,8014966509,2.37E+11
604,1.01E+14,8582994597,2.44E+11
605,9.93E+13,9705361069,2.45E+11
606,1.02E+14,8473022395,2.43E+11
607,1.03E+14,8391809761,2.34E+11
608,1.02E+14,9046951238,2.37E+11
609,1.02E+14,7896326403,2.46E+11
610,1.00E+14,9768241152,2.39E+11
611,1.03E+14,8292320148,2.39E+11
612,1.03E+14,8905307191,2.33E+11
613,1.01E+14,9236870968,2.38E+11
614,1.02E+14,8199903663,2.44E+11
615,1.01E+14,9891752754,2.30E+11
616,1.03E+14,8657723927,2.36E+11
617,1.04E+14,7622408858,2.39E+11
618,1.01E+14,9576543423,2.40E+11
619,1.03E+14,8226341574,2.37E+11
620,9.84E+13,11023077682,2.40E+11
621,1.01E+14,9351601194,2.38E+11
622,9.97E+13,9227032715,2.47E+11
623,1.02E+14,8384599183,2.44E+11
624,1.03E+14,8730180970,2.30E+11
625,1.00E+14,9178935776,2.42E+11
626,1.01E+14,10447653655,2.25E+11
627,1.01E+14,10015386600,2.30E+11
628,1.01E+14,9147608114,2.44E+11
629,1.01E+14,8180119167,2.50E+11
630,9.80E+13,11615324668,2.38E+11
631,1.07E+14,7427180965,2.31E+11
632,1.02E+14,9171277435,2.35E+11
633,1.04E+14,9737979846,2.25E+11
634,1.04E+14,7747382681,2.36E+11
635,1.01E+14,10905318560,2.25E+11
636,9.89E+13,10291623082,2.37E+11
637,1.01E+14,8875516550,2.40E+11
638,1.03E+14,9086811985,2.29E+11
639,9.83E+13,11047762111,2.40E+11
640,1.01E+14,8356264326,2.49E+11
641,1.03E+14,9413605063,2.30E+11
642,1.01E+14,8446158005,2.50E+11
643,1.04E+14,8866076706,2.28E+11
644,1.03E+14,9880516516,2.25E+11
645,1.00E+14,10474923348,2.31E+11
646,9.82E+13,10650734468,2.55E+11
647,1.05E+14,9221928021,2.21E+11
648,9.79E+13,11433543338,2.39E+11
649,9.86E+13,10595846631,2.36E+11
650,9.91E+13,9438348805,2.47E+11
651,1.00E+14,10091953832,2.32E+11
652,1.01E+14,10117472932,2.30E+11
653,9.86E+13,10597505325,2.43E+11
654,1.04E+14,9684726687,2.26E+11
655,1.01E+14,8326590837,2.50E+11
656,1.01E+14,8430872977,2.49E+11
657,9.81E+13,11184581842,2.41E+11
658,1.03E+14,9715016411,2.27E+11
659,1.04E+14,7943483164,2.36E+11
660,1.04E+14,7960518184,2.35E+11
661,9.71E+13,11770713155,2.45E+11
662,1.01E+14,9269939898,2.38E+11
663,1.01E+14,9282538463,2.38E+11
