,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
10,35710.73183487091,94726.2023918646,35989.12657484566,2.5247540839047443e-12,1.2319463801360433e-12,1.7625064450097308e-14,5.749113771526747e-13,31422.71267688798,8.3423194402252e-12,52319.7659187907,7.736789249764244e-13,1.5213101817895595e-12,73171.24058972076,63.54742228861399,226135.86200214873,17230.894840999743,38526.60780998542,7.140968689602479e-10,8.512705994174937e-14,67973.7937973108,1.1737595616423107e-11,2.1658849326245808e-11,5.579711625958357e-05,27361445.226325475,4.664234954418371e-09,309532273.2839526,230415104.84037435,2.6489228735780338e-08,349723883.75995284,187470712.88955864,1.3134477432703373e-08,115533183.13672635,187.3607932419742,1.9899682217744196e-08,333604811.6228069,282030699.5826165,1.5433551219221383e-11,3.1454288363158685e-10,1.576352922682442e-10
11,33732.81526898936,94813.60327874792,36275.98209438642,2.5247540839047443e-12,1.2319463801360433e-12,1.7625064450097308e-14,5.749113771526747e-13,31492.189193954837,8.3423194402252e-12,52082.40573997276,7.736789249764244e-13,1.5213101817895595e-12,73285.75018968595,120.10004648199958,224594.56062001278,24725.354540930377,38232.764262028606,3.717337459000656e-09,8.512705994174937e-14,79462.20218604694,1.1737595616423107e-11,2.1658849326245808e-11,5.579711625958357e-05,27361445.226325475,4.664234954418371e-09,309532273.2839526,230415104.84037435,2.6489228735780338e-08,349723883.75995284,187470712.88955864,1.3134477432703373e-08,115533183.13672635,187.3607932419742,1.9899682217744196e-08,333604811.6228069,282030699.5826165,1.5433551219221383e-11,3.1454288363158685e-10,1.576352922682442e-10
12,35492.80648355269,92441.06147251814,35594.869417363036,2.5247540839047443e-12,1.2319463801360433e-12,1.7625064450097308e-14,5.749113771526747e-13,31409.832980332038,8.3423194402252e-12,51917.83150340753,7.736789249764244e-13,1.5213101817895595e-12,72696.38004147391,511.96960948922646,224430.34731790502,23893.347803902252,37863.78469904478,6.383735214397139e-09,8.512705994174937e-14,72645.94493706376,1.1737595616423107e-11,2.1658849326245808e-11,5.579711625958357e-05,27361445.226325475,4.664234954418371e-09,309532273.2839526,230415104.84037435,2.6489228735780338e-08,349723883.75995284,187470712.88955864,1.3134477432703373e-08,115533183.13672635,187.3607932419742,1.9899682217744196e-08,333604811.6228069,282030699.5826165,1.5433551219221383e-11,3.1454288363158685e-10,1.576352922682442e-10
13,33814.71388348341,92956.25498986457,39504.14671016913,2.5247540839047443e-12,1.2319463801360433e-12,1.7625064450097308e-14,5.749113771526747e-13,31407.119615690684,8.3423194402252e-12,49571.37125572769,7.736789249764244e-13,1.5213101817895595e-12,71971.5608034651,57.88954364420624,225439.64049069557,17250.955459205026,22921.09692962511,1.4503091628210301e-09,8.512705994174937e-14,67507.95096848432,1.1737595616423107e-11,2.1658849326245808e-11,5.579711625958357e-05,27361445.226325475,4.664234954418371e-09,309532273.2839526,230415104.84037435,2.6489228735780338e-08,349723883.75995284,187470712.88955864,1.3134477432703373e-08,115533183.13672635,187.3607932419742,1.9899682217744196e-08,333604811.6228069,282030699.5826165,1.5433551219221383e-11,3.1454288363158685e-10,1.576352922682442e-10
14,35580.40829651909,94614.82866715832,40651.448890107,2.5247540839047443e-12,1.2319463801360433e-12,1.7625064450097308e-14,5.749113771526747e-13,31500.63550456019,8.3423194402252e-12,51945.971035586015,7.736789249764244e-13,1.5213101817895595e-12,72787.44458362543,511.96960948922646,230864.9698770074,15045.456891086254,39348.79133480489,7.074896185833385e-08,8.512705994174937e-14,72964.90235913922,1.1737595616423107e-11,2.1658849326245808e-11,5.579711626082095e-05,27361445.226325475,4.664234954418371e-09,309532273.2839526,230415104.84037435,2.6489228735780338e-08,349723883.75995284,187470712.88955864,1.3134477432703373e-08,115533183.13672635,187.3607932419742,1.9899682217744196e-08,333604811.6228069,282030699.5826165,1.5433551219221383e-11,3.1454288363158685e-10,1.576352922682442e-10
15,33756.41260033183,94573.43260916049,40909.40791565968,2.5247540839047443e-12,1.2319463801360433e-12,1.7625064450097308e-14,5.749113771526747e-13,31504.283055714877,8.3423194402252e-12,52626.902079388696,7.736789249764244e-13,1.5213101817895595e-12,71918.25369029562,479.3975095372589,224640.3683381007,24076.40348577925,22597.302456678703,6.249531762970768e-08,8.512705994174937e-14,73549.42282408105,1.1737595616423107e-11,2.1658849326245808e-11,5.579711625957398e-05,27361445.226325475,4.664234954418371e-09,309532273.2839526,230415104.84037435,2.6489228735780338e-08,349723883.75995284,187470712.88955864,1.3134477432703373e-08,115533183.13672635,187.3607932419742,1.9899682217744196e-08,333604811.6228069,282030699.5826165,1.5433551219221383e-11,3.1454288363158685e-10,1.576352922682442e-10
16,33729.258165491774,94783.75617522742,39720.474862540505,2.5247540839047443e-12,1.2319463801360433e-12,1.7625064450097308e-14,5.749113771526747e-13,31422.35240206034,8.3423194402252e-12,51998.812669961684,7.736789249764244e-13,1.5213101817895595e-12,73047.56084920432,463.25394019259204,223355.44577042115,23947.43267054044,36738.86372976812,3.4013307877081405e-09,8.512705994174937e-14,79810.20506977821,1.1737595616423107e-11,2.1658849326245808e-11,5.579711625958357e-05,27361445.226325475,4.664234954418371e-09,309532273.2839526,230415104.84037435,2.6489228735780338e-08,349723883.75995284,187470712.88955864,1.3134477432703373e-08,115533183.13672635,187.3607932419742,1.9899682217744196e-08,333604811.6228069,282030699.5826165,1.5433551219221383e-11,3.1454288363158685e-10,1.576352922682442e-10
17,35515.42898802171,94624.90163693455,39908.491748676264,2.5247540839047443e-12,1.2319463801360433e-12,1.7625064450097308e-14,5.749113771526747e-13,31410.308021999008,8.3423194402252e-12,50027.51404836602,7.736789249764244e-13,1.5213101817895595e-12,72933.66140410496,272.3165840483184,225033.81788577873,24632.169709361908,30493.52112466562,7.036710815785714e-08,8.512705994174937e-14,72645.90324419376,1.1737595616423107e-11,2.1658849326245808e-11,5.579711625958357e-05,27361445.226325475,4.664234954418371e-09,309532273.2839526,230415104.84037435,2.6489228735780338e-08,349723883.75995284,187470712.88955864,1.3134477432703373e-08,115533183.13672635,187.3607932419742,1.9899682217744196e-08,333604811.6228069,282030699.5826165,1.5433551219221383e-11,3.1454288363158685e-10,1.576352922682442e-10
18,35512.25494724266,94648.91792857768,35448.48068216361,2.5247540839047443e-12,1.2319463801360433e-12,1.7625064450097308e-14,5.749113771526747e-13,31408.36210452596,8.3423194402252e-12,51938.208989339575,7.736789249764244e-13,1.5213101817895595e-12,69534.12144134367,1028.1250275806615,224582.05592915008,24654.684776612397,37937.10499702065,6.024080413188052e-09,8.512705994174937e-14,72645.42426753734,1.1737595616423107e-11,2.1658849326245808e-11,5.579711625958357e-05,27361445.226325475,4.664234954418371e-09,309532273.2839526,230415104.84037435,2.6489228735780338e-08,349723883.75995284,187470712.88955864,1.3134477432703373e-08,115533183.13672635,187.3607932419742,1.9899682217744196e-08,333604811.6228069,282030699.5826165,1.5433551219221383e-11,3.1454288363158685e-10,1.576352922682442e-10
19,35404.43018109075,85360.89729697493,36039.40873099763,2.5247540839047443e-12,1.2319463801360433e-12,1.7625064450097308e-14,5.749113771526747e-13,31418.54884191598,8.3423194402252e-12,49652.31394289868,7.736789249764244e-13,1.5213101817895595e-12,68766.18801923234,501.63779363922004,228031.89365825357,16908.42322075672,38954.88751713751,4.908950428890442e-09,8.512705994174937e-14,68642.530261543,1.1737595616423107e-11,2.1658849326245808e-11,5.579711625936908e-05,27361445.226325475,4.664234954418371e-09,309532273.2839526,230415104.84037435,2.6489228735780338e-08,349723883.75995284,187470712.88955864,1.3134477432703373e-08,115533183.13672635,187.3607932419742,1.9899682217744196e-08,333604811.6228069,282030699.5826165,1.5433551219221383e-11,3.1454288363158685e-10,1.576352922682442e-10
20,33752.273284174174,99416.31400187204,35616.2741794688,2.5247540839047443e-12,1.2319463801360433e-12,1.7625064450097308e-14,5.749113771526747e-13,31416.57708728055,8.3423194402252e-12,49886.37461443238,7.736789249764244e-13,1.5213101817895595e-12,72601.68824041377,448.32995659601727,221931.71649969352,26816.670480327288,37920.99880732478,5.79861577436722e-09,8.512705994174937e-14,67309.78410467596,1.1737595616423107e-11,2.1658849326245808e-11,5.579711626048127e-05,27361445.226325475,4.664234954418371e-09,309532273.2839526,230415104.84037435,2.6489228735780338e-08,349723883.75995284,187470712.88955864,1.3134477432703373e-08,115533183.13672635,187.3607932419742,1.9899682217744196e-08,333604811.6228069,282030699.5826165,1.5433551219221383e-11,3.1454288363158685e-10,1.576352922682442e-10
